Date Time,Sentiment,Text,User Name,Retweets,Favorites
25-4-17,1, قبض عمال مصريه اتصالات اتهامهم بتنظيم وقفه احتجاجيه وتم تحرير محضر برقم لسنه اداري قسم شرطه اذبكيه حريه عمال,,0,0
25-4-17,1, اخلاء سبيل عمال مصريه اتصالات بضمان محل اقامتهم تفاصيل,,0,1
25-4-17,1, اشترك تبع مصريه اتصالات احسن مننا شكرًا فندم,,0,1
25-4-17,1, عمال مصريه اتصالات اخلاء سبيل شكرا زملاء ياسر سعد واسامه جميل ووائل توفيق وكل زملاء تعاونيه وعي قانوني,,2,0
25-4-17,1, مصريه اتصا ت شبكه واحده بتسرقنا كلنا,,0,0
25-4-17,-1, محام اخلاء سبيل عمال مصريه اتصالات تسعه قبض عليهم لمطالبتهم بصرف بدل غلاء معيشه,,0,0
25-4-17,-1, قررت نيابه هرم اخلاء سبيل عمال شركه مصريه اتصالات مقبوض عليهم ظهر اليوم سنترال مريوطيه,,0,0
24-4-17,1, معرفه فاتوره تليفون ارضي ابريل الان موقع مصريه اتصالات مجانا مكان,,0,0
24-4-17,-1, فيتو عاجل قبض عمال مصريه اتصالات بتهمه تظاهر ب مريوطيه,,1,0
24-4-17,-1, جريده واصل نيوز اسماء قبض عمال مصريه اتصالات مريوطيه,,0,0
24-4-17,-1, نيابه ازبكيه تقرر اخلاء سبيل عمال شركه مصريه اتصالات فرع رمسيس اُلقي قبض عليهم امس بتهمه,,2,4
24-4-17,1, حريه بوست جريده حريه بوست غضب عمالي واسع بسبب حمله امنيه ضد عمال مصريه اتصالات,,0,0
24-4-17,1, امن وطني يحتجز عمال مصريه اتصالات بسبب مطالبتهم ب بدل غلاء,,0,0
24-4-17,-1, ياخبر نيابه ازبكيه تقضي باخلاء سبيل عمال مصريه اتصالات ذمه اتهامهم تجمهر مطالبه بصرف بدل غلاء معيشه,,7,1
24-4-17,-1, فيتو اخلاء سبيل عمال مصريه اتصالات متهمين تظاهر,,0,1
24-4-17,1, اخلاء سبيل عمال مصريه اتصالات بضمان محل اقامتهم خلفيه اتهامهم تجمهر,,0,3
24-4-17,-1, حوادث نيابه عامه تخلي سبيل عمال مصريه اتصالات,,0,0
24-4-17,-1, عاجل مصر الان اخلاء سبيل عمال مصريه اتصالات متهمين تظاهر,,0,0
24-4-17,1, اخلاء سبیل عمال مصریه اتصالات محتجزین بنیابه ازبکیه هم سعيد صلاح مؤمن عباس محمد مجدي محمود فتح,,1,0
24-4-17,1, قبض عدد موظفي مصريه اتصالات مريوطيه وهم احمد عبد ظاهر حسن طلعت محمد محمد ابو سالم احمد عبد,,0,0
24-4-17,1, وقفه لعمال مصريه اتصالات مطالبه بزياده مرتبات,,0,0
24-4-17,1, ضمن تهم موجهه عمال مصريه اتصالات سوء استخدام فيس بوك شاء الله ربنا يوفق مكرم محمد احمد يعمل ميثاق شرف فيس بوك,,0,0
24-4-17,1, جبهه دفاع صحفيين حريات تطالب افراج عمال شركه مصريه اتصالات اُلقي قبض عليهم امس,,2,2
24-4-17,1, تحرير بينها استخدام فيسبوك اتهامات لعمال مصريه اتصالات,,0,2
24-4-17,-1, تعاونيه قانونيه قبض عمال ضمن احتجاجات عمال مصريه اتصالات مصر,,1,3
24-4-17,-1, مصريه اتصالات تزايد اعداد معتقلين مدد,,0,0
24-4-17,1, اكبر قرض تاريخ مصري ل مصريه اتصالات,,0,0
24-4-17,1, اعتقال عدد عمال مصريه اتصالات بسبب احتجاجهم,,0,0
24-4-17,1, عمرو اديب مصريه اتصالات,,0,0
24-4-17,-1, حبس عمال مصريه اتصالات ٤ ايام بتهمه تجمهر بدون تصريح,,0,1
24-4-17,1, تعاونيه قانونيه اعتقال عامل متضامن و امام سنترال مريوطيه ضمن احتجاجات عمال مصريه اتصالات,,2,0
24-4-17,1, بمناسبه عيد عمال حكومه امبارح قبضت عمال مصريه اتصالات نهارده زمايلهم تانيين عشان بيطالبوا بحقوقهم,,3,1
24-4-17,1, قام عدد موظفي مصريه اتصالات بعمل وقفه عدد محافظات لمده نصف ساعه رافعيين مطالب اتيه ١ صرف,,0,0
24-4-17,-1, عيد عمال سجن امبارح اتقبض عمال مصريه اتصالات عشان طالبو بحقوقهم وتحسين دخلهم نهارده اعتقال زمايلهم,,0,1
24-4-17,-1, حبس من موظفس مصريه اتصالات بارحه,,0,1
24-4-17,-1, حبس من موظفي مصريه اتصالات بارحه,,0,0
24-4-17,1, بكره عيد عمال مناسبه سعيده دي دوله حبت تعيد عليهم فقبضت مجموعه عمال مصريه اتصالات ومجموعه,,0,0
24-4-17,-1, قومي عمال يطالب بازاله توتر موظفي مصريه اتصالات اداره,,0,0
24-4-17,1, تعاونيه قانونيه اعتقال عمال متضامن و امام سنترال مريوطيه ضمن احتجاجات عمال مصريه اتصالات,,0,0
24-4-17,-1, تظاهر عاملين بسبب غلاء معيشه وحبسهم مصريه اتصالات تقع ورطه,,0,0
24-4-17,-1, قاء قبض احد عاملين متضامنين زملائه مقبوض عليهم شركه مصريه اتصالات امام مبني نيابه,,0,0
24-4-17,1, خدمات نقابيه تطالب افراج موظفين ب مصريه اتصالات متهمين تظاهر,,0,4
24-4-17,-1, بتهمه تظاهر احتجاز عمال مصريه اتصالات ودار خدمات سياسه قمع فاشله,,1,0
24-4-17,-1, انباء قبض مجموعه عمال تاني مصريه اتصالات سنترال مريوطيه اثناء اعتصامهم اجل مطالبه,,0,0
24-4-17,1, استعلام تليفون ارضي فاتوره فاتوره تليفون ارضي ابريل مصريه اتصالات,,0,0
24-4-17,-1, تحرير غلاء معيشه يربك حسابات مصريه اتصالات حبس عاملين,,1,2
24-4-17,-1, مشكله رئيس شركه مصريه اتصالات موظفين شركه موظفين وقفوا قدام باب شركه معترضين قرارات,,0,0
24-4-17,-1, عاجل قوات امن تعتقل عمال شركه مصريه اتصالات وقفه احتجاجيه نظموها امام سنترال رمسيس مطالبه بتحسين رواتبهم,,0,6
24-4-17,1, مصريه اتصالات اعلان اسعار خدمات محمول شهرين هااشتاق عربي قال عضو منتدب رئيس تنفيذي مصريه لل,,0,0
24-4-17,1, نيابه تستكمل تحقيق من عمال مصريه اتصالات بتهمه تظاهر ودار خدمات نقابيه تطالب افراج عنهم,,1,3
24-4-17,-1, قوات امن تعتقل عمال شركه مصريه اتصالات وقفه احتجاجيه نظموها امام سنترال رمسيس مطالبه بتحسين رواتبهم,,2,1
24-4-17,-1, اسماء عامل اعتقال عمال مصريه اتصالات تظاهرهم مطالبه بتحسين رواتبهم بدايه,,0,0
24-4-17,1, اعلان وظائف شركه مصريه اتصالات منشور,,0,0
24-4-17,1, امن يعتقل عمال مصريه اتصالات اثناء احتجاجهم رواتب,,0,0
24-4-17,-1, تنفيذ صفقه طرح رايه اتصالات بقيمه مليون جنيه قالت بورصه مصريه انه تنفيذ طرح عام خاص,,0,0
24-4-17,-1, قبض عمال مصريه اتصالات خلفيه اتهامهم بتنظيم وقفه احتجاجيه وتم تحرير محضر قيد برقم,,0,0
24-4-17,1, متضامن مع عمال مصريه اتصالات,,0,0
24-4-17,1, مصريه اتصالات اعلان اسعار خدمات محمول شهرين,,0,0
24-4-17,1, مصريه اتصالات اعلان اسعار خدمات محمول شهرين,,0,0
24-4-17,1, عمال مصريه اتصالات امام قسم ازبكيه مساء امس اثناء عرض زملائهم نيابه احتجاجا اعتقالهم اثناء وقفه مطالبه بتحسين اجور,,0,2
24-4-17,-1, نيابه ازبكيه تامر بحبس عمال مصريه اتصالات ايام ذمه تحقيق بسبب وقفه احتجاجيه تنظيمها مطالبه بتحسين اوضاعهم ماليه,,0,1
24-4-17,-1, اخبار ثانيه بثانيه نيابه تحقق عمال مصريه اتصالات لاتهامهم تظاهر,,0,0
24-4-17,-1, قررت نيابه ازبكيه حبس عمال مصريه اتصالات ايام ذمه تحقيق تنظيمهم وقفه مطالبه بزياده,,0,0
24-4-17,1, شاهد صور عمال شركه مصريه اتصالات يتظاهرون امام قسم ازبكيه,,0,0
24-4-17,1, شاهد صور عمال شركه مصريه اتصالات يتظاهرون امام قسم ازبكيه عربي اكسبريس,,0,0
24-4-17,1, مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج هواتف ذكيه,,0,0
24-4-17,-1, اهل مصر مستندات عمال مصريه اتصالات يشتكون سوء اداره,,0,0
24-4-17,-1, هندي يطالب بازاله توتر عمال مصريه اتصالات اداره,,0,0
24-4-17,1, ارقامي ثلاث شبكات محدش يقولي تليفونك مقفول ومبيجمعشكده نافق الا اني اشيل خط مصريه اتصالات في,,0,0
24-4-17,1, اليوم نهايه حق توزيع جنيه لسهم مصريه اتصالات تعتزم شركه مصريه اتصالات توزيع كوبون,,0,0
24-4-17,1, خلاص مكالمات ال ال ال مصر شركه مصريه اتصالات ابتديت,,0,0
24-4-17,-1, اسماء عامل اعتقال عمال مصريه اتصالات تظاهرهم مطالبه بتحسين رواتبهم,,2,2
24-4-17,1, مباشر مصر عمال شركه مصريه اتصالات يتجمهرون امام قسم ازبكيه ب قاهره اثناء عرض زملائهم نيابه احتجاجا اعتقالهم,,2,0
24-4-17,-1, دستور قبض عاملين ب مصريه اتصالات لتنظيمهم وقفه امام سنترال رمسيس,,0,0
23-4-17,-1, قبض عمال مصريه اتصالات اثناء وقفه لزياده مرتباتهم وبيتعرضوا الان نيابه ازبكيه امن محاصر,,0,0
23-4-17,-1, اسف شديد جدًا مصريه اتصالات قررت تتشملل وتحجب خدمه ال اجهزه اللي بتستخدم انترنت عن,,0,0
23-4-17,-1, قبض تسع عمال مصريه اتصالات اثناء وقفه احتجاجيه لزياده مرتباتهم بيتم عرضهم الان نيابه ازبكيه حضور محامي,,0,0
23-4-17,-1, قبض عمال مصريه اتصالات اثناء وقفه احتجاجيه لزياده مرتباتهم ويتم عرضهم الان نيابه ازبكيه,,19,8
23-4-17,1, فاتوره تليفون ارضي لشهر ابريل شركه مصريه اتصالات وطرق سداد لعام,,0,0
23-4-17,1, سيشهد تاريخ حق عالمين مصريه اتصالات,,0,0
23-4-17,-1, هندي يطالب رئيس تدخل لازاله توتر عمال مصريه اتصالات اداره,,0,0
23-4-17,-1, عاجل تظاهرعمال مصريه اتصالات سبب صور صدي بلد بلد,,0,2
23-4-17,-1, مصطبه كوابريه حجب اتصالات في مصر اسف شديد جدًا مصريه اتصالات قررت تتشملل وتحجب خدمه ال عن,,0,0
23-4-17,-1, صدي بلد عمال مصريه اتصالات عايزين نعيش مرتب ميكفيش صور بلد,,1,2
23-4-17,-1, عاجل تظاهر عمال مصريه اتصالات مطالبه بزياده رواتبهم صور صدي بلد بلد,,3,2
23-4-17,1, اي يجرب يشوف تفعيل امبراطوريه شغال ولا لا لان نت فاصل عندي بيت الله يسامح مصريه اتصالات فاصله,,0,0
23-4-17,1, مصريه اتصالات هتنزل بشبكه محمول وهتستخدم شبكه ال,,0,0
23-4-17,-1, صحيفه توقيع مذكره شروط قرض مصريه اتصالات مطلع مايو قاهره مباشر قالت مصادر لصحيفه مال ان,,0,0
23-4-17,1, صور هندي يطالب رئيس جمهوريه ازاله توتر مستمر عمال مصريه اتصالات واداره عمل,,0,0
23-4-17,1, مصريه اتصالات تجري تجارب تجوال شبكه اورنج منتصف يوليو مصر اقتصاد,,0,0
23-4-17,-1, صور هندي يطالب رئيس جمهوريه ازاله توتر مستمر عمال مصريه اتصالات واداره,,0,0
23-4-17,1, مصريه اتصالات تجري تجارب تجوال محلي شبكه اورنج منتصف يوليو,,0,0
23-4-17,1, مصريه اتصالات جت صريحه ودوغري معايا وقالت خطوط عطل جسيم اما بقي تي اي داتا لازم تحور وتقولك نعمل اصلاح لامؤاخذه,,0,0
23-4-17,-1, حجب اتصالات في مصر اسف شديد جدًا مصريه اتصالات قررت تتشملل وتحجب خدمه ال اجهزه اللي,,0,0
23-4-17,1, وظائف مصريه اتصالات لمختلف تخصصات جنسين تقديم انترنت اضغط تسجيل بوظيفتك,,0,0
23-4-17,1, اليوم نهايه حق كوبون مصريه اتصالات بواقع جنيه سهم اليوم نهايه حق كوبون مصري,,0,0
23-4-17,-1, توقيع مذكره شروط قرض مصريه اتصالات مطلع مايو,,0,0
23-4-17,1, اليوم اخر فرصه حصول كوبون رقم شركه مصريه اتصالات بواقع جنيه سهم,,0,0
23-4-17,1, اليوم اخر حق لمشتري سهم مصريه اتصالات توزيع جنيه سهم مصر اقتصاد,,0,0
23-4-17,1, تشغيل شبكه رابعه صيف مقبل اكد مهندس احمد بحيري رئيس تنفيذي شركه مصريه اتصالات اتفاقيه,,0,0
23-4-17,1, مصريه اتصالات استعلام فاتوره تليفون ارضي ابريل اسم رقم,,0,0
23-4-17,1, رئيس شركه مصريه اتصالات معين فتره قريبه جدا فهمت ولا لسه,,0,0
23-4-17,1, اعلان وظائف شركه مصريه اتصالات منشور,,0,0
23-4-17,1, وظائف مصريه اتصالات لمختلف تخصصات جنسين تقديم انترنت اضغط تسجيل,,0,0
23-4-17,1, يارب تي داتا مصريه اتصالات يموتوا,,2,5
22-4-17,-1, حجب اتصالات في مصر اسف شديد جدًا مصريه اتصالات قررت تتشملل وتحجب خدمه ال اجهزه اللي,,0,0
22-4-17,1, نهايه حق توزيع جنيه لسهم مصريه اتصالات,,0,0
22-4-17,1, عايده ايوبي اعلان مصريه اتصالات ادينا ايدك,,0,0
22-4-17,1, كايروكي زمان اعلان مصريه اتصالات,,0,0
22-4-17,1, مصريه اتصالات فرع بولاق دكرور,,2,0
22-4-17,1, متضرر اكبر مصريه اتصالات لان ارباحها حقيقيه كانت دولي شركات محمول حتخسر حاجه اخر ابليكيشن داتا,,1,0
22-4-17,1, حسيت بتالسي دي اغنيه لعبد وهاب معموله مخصوص مصريه اتصالات,,0,0
22-4-17,1, بحضور قاضي مصريه اتصالات و اورنج مصر توقعان مذكرات تفاهم لتقديم خدمات تجوال محلي تراسل,,0,0
22-4-17,1, حكومه تدرس تحويل مصريه اتصالات لشركه قابضه,,0,0
22-4-17,1, فاتوره تليفون ارضي مصريه اتصالات ابريل استعلم الان سدد فاتوره تليفون ارضي فسفس نيوز,,0,0
22-4-17,1, مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج,,0,0
22-4-17,1, غدًا نهايه حق توزيع جنيه لسهم مصريه اتصالات جريده بورصه,,0,1
22-4-17,1, استعلام فاتوره تليفون ارضي لشهر ابريل وموعد سداد وطرق دفع لدي شركه مصريه اتصالات,,0,1
22-4-17,1, يقفلوها وقت مصريه اتصالات متحكم جزء اكبر انترنت مصر,,0,1
22-4-17,-1, مشكله مصريه اتصالات قررت حجب خدمه ال اجهزه الي بتستخدم انترنت طريق شركات موجوده في,,0,0
22-4-17,1, فيديو مصريه اتصالات تجري اول مكالمه,,0,0
22-4-17,-1, لعبه شركات محمول اخص شركه جديده اللي تبع مصريه اتصالات نسبه مكالمات قلت,,0,0
22-4-17,1, حضرتك انت بتشكك جزء تاني شركتك لان مصر كلها عارفه مصريه اتصالات جهاز قومي لتنظيم اتصالات,,0,0
22-4-17,1, مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج,,0,0
22-4-17,1, وصلك منشور تقسيم مصريه اتصالات,,0,0
21-4-17,1, مصر فايف استعلم وادفع فاتوره تليفون ارضي لشهر ابريل الان موقع شركه مصريه اتصالات,,0,0
21-4-17,-1, مشكله مصريه اتصالات قررت حجب خدمه ال اجهزه الي بتستخدم انترنت طريق شركات موجوده في,,0,0
21-4-17,-1, اعتقد تبرير حكومي حول اغلاق مكالمات انترنت لانها تسبب خسائر شركه مصريه اتصالات ادعاء او كذب,,2,1
21-4-17,1, اهلا بيكم عالم اتصالات ولا بورتات شكرا مصريه اتصالات رب تولعوا بجاز وسخ,,0,1
21-4-17,-1, عاصرت تجربتين حكومه مصريه لخصت فشل الي شوفتوش سنين تعداد وفنكوش مصريه اتصالات,,0,0
21-4-17,1, خبر مصريه اتصالات تقررحجب خدمه وهي خاصيه تتيح لاي شخص يتكلم صوت وصوره طريق ابلكيشنز مثل فيسبوك ماسنجر,,2,0
21-4-17,1, سكايب مقفول رسمي بامر جهاز تنظيم اتصالات ال باقي بيتم تحجيمه امن قومي وتاثير دخل مصريه اتصالات,,0,0
21-4-17,1, زياده الحد ادني اجور ايه رايك في كدا اجور مصريه اتصالات جنيه مرتبات,,0,0
21-4-17,1, اتصال تاني طريق نت باستخدام واتس او ماسنجر شركه مصريه اتصالات قفلت ال شغال تقفل مناطق تدريج,,0,0
21-4-17,1, سؤال تعرفي ليه بخص مصريه اتصالات ذكر يعني,,0,1
21-4-17,1, سماح منع بيبقي مزود خدمه وقرار منع مبيتاخدش فمجلس اداره مصريه اتصالات لان ليه ارتباطات اخري,,0,0
21-4-17,1, واضح مصريه اتصالات هتمنع مكالمات فيس بوك وواتس اب وهنرجع عصور وسطي تاني,,0,0
21-4-17,-1, واحد متصل مصريه اتصالات ارضي سالني مشكله خط او بيعطل وبيتكلم بمنتهي ادب طلع اخر دا رقم وزير ثقافه,,0,0
21-4-17,1, مكالمات واتس فيس اتقطعت نتبجه اجتماع مصريه اتصالات شركات موبينيل الله يحرقك ويحرق جابوك ياسيسي ياوش فقر يابوز غراب,,0,4
21-4-17,-1, مشكله مصريه اتصالات قاطعين حراره اني دفعتلهم فاتوره,,0,0
21-4-17,1, حكومه تدرس تحويل مصريه اتصالات لشركه قابضه اوبح بجد,,1,2
21-4-17,-1, مصريه اتصالات تتلقي عروض ماليه لانشاء محطات طاقه شمسيه اسبوعين,,0,0
21-4-17,1, الان معرفه فاتوره تليفون ارضي لشهر ابريل شركه مصريه اتصالات,,0,0
21-4-17,1, شركه مصريه اتصالات توقع اورانج مصر لاستخدام شبكات انترنت,,0,0
21-4-17,1, واحد كده اُرزقي بيقف شارع احمد سعيد عباسيه قدام مصريه اتصالات اسمه رجب ومعايا رقمه عاوزه واسعاره حنين,,0,0
21-4-17,1, استعلم فاتوره تليفون ارضي خاصه بك مصريه اتصالات ابريل طرق متاحه لسداد فاتوره,,0,0
20-4-17,1, تكنولوجيا اخبار تكنولوجيا اليوم مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج,,0,0
20-4-17,1, مصريه اتصالات بتقولك كلمنا ال قالوا حاجه تمام جربت تعمل ريستارت مكس وكل حاجه هتبقي تمام,,0,0
20-4-17,1, خدمه مصريه اتصالات اسمها تليفونت,,0,1
20-4-17,1, توقيع مصريه اتصالات عقدها اورنج لتقديم خدمات محمول باستخدام شبكه اورنج يؤدي لسؤال ليه منحت رخصه بنيه اساسيه اورنج هتكسب فل,,4,1
20-4-17,1, ماتقولوليش مشكله خط قالولي مصريه اتصالات قالت خط نحاسي شغال مافيش مشلكه هكدب جهاز تنظيم اتصالات,,0,0
20-4-17,-1, بحيري ل عربيه مصريه اتصالات ستبدا تقديم خدمات جيل رابع بنهايه فصل صيف حالي مصر اتصالات,,2,1
20-4-17,1, مشاريع انشاءات وتطوير نادي شركه مصريه اتصالات مجلس قومي مراه بمحافظه قنا محطه ارضيه قمر,,0,0
20-4-17,1, محمد عادل ستدفعون ثمن تجسسكم مكالماتنا مصريه اتصالات الله وانا مالي يالمبي,,0,0
20-4-17,-1, خدمه زفت خط يفصل لاسابيع بدون سابق انظار تالي نت ومفيش شغل ومفيش تعويض مصريه اتصالات اسرق محدش شايفك,,0,0
20-4-17,1, مصريه اتصالات اورانج يوقعان مذكره تفاهم لتقديم خدمات تجوال محلي وخدمات تراسل,,0,0
20-4-17,1, مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج,,0,0
20-4-17,1, مصريه اتصالات توقع مذكره تفاهم اورنج لتقديم خدمات محمول كتبت شيماء حفظي قالت شركه مص,,0,0
20-4-17,1, مفاوضات مصريه اتصالات رابط مباراه رابط مباراه,,0,0
20-4-17,1, اورنج توقع مذكرتي تفاهم مصريه اتصالات ب مليار جنيه,,0,0
20-4-17,1, مصريه اتصالات تجديد خدمات تراسل اورنج لمده سنوات,,0,0
20-4-17,-1, مصريه اتصالات تتلقي عروض ماليه لانشاء محطات طاقه شمسيه اسبوعين جريده ا,,3,0
20-4-17,-1, بورصه تلغي تعاملات اورانج امس اتفاقها مصريه اتصالات,,0,0
20-4-17,1, مصريه اتصالات مليار جنيه قيمه تجديد اتفاقيه تراسل مع اورانج,,0,0
20-4-17,1, اخبار تقنيه تكنولوجيا مصريه اتصالات و اورنج مصر يوقعان مذكرات تفاهم لتقديم خدمات تجوال محلي وخدمات ا,,0,0
20-4-17,1, تفاصيل تقديم مصريه اتصالات خدمات محمول عبر اخبار اخبار عالم عالم عربي رياضه ثقافه فن,,0,0
20-4-17,1, مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج تقنيه,,0,0
20-4-17,-1, مصريه اتصالات بتقول انهم بيسجلوش مكالمات يشتم مكاني,,4,1
20-4-17,-1, مصريه اتصالات تدخل سوق محمول باتفاق اورانج,,1,1
20-4-17,-1, اونا مصريه اتصالات تدخل سوق محمول اورانج تفاصيل,,0,0
20-4-17,-1, مصريه اتصالات تدخل سوق محمول باتفاق ب مليار جنيه اورانج,,0,0
20-4-17,1, افصاح مصريه اتصالات واورنج تفاصيل تجوال محلي,,1,0
20-4-17,1, مصريه اتصالات تقدم خدمات انترنت محمول عبر شبكه اورانج,,0,0
